timestamp	context_type	group_type	algorithm	aggregation_method	@k	precision	recall	ndcg	
2022-06-18 01:03:22.410234	none	random_0	coclustering	avg	5	0.25	0.4583333333333333	0.20300249727838598	
2022-06-18 01:03:22.410404	none	random_0	coclustering	avg	10	0.175	0.5833333333333333	0.16150195022470665	
2022-06-18 01:03:22.410492	none	random_0	coclustering	avg	15	0.21666666666666667	0.8333333333333333	0.14450268948156564	
2022-06-18 01:03:22.410564	none	random_0	coclustering	avg	20	0.1875	0.9583333333333334	0.13059616485281156	
2022-06-18 01:03:22.410639	none	random_0	coclustering	avg	25	ukn	ukn	ukn	
2022-06-18 01:03:22.410711	none	random_0	coclustering	avg	30	ukn	ukn	ukn	
2022-06-18 01:03:22.410781	none	random_0	coclustering	avg	35	ukn	ukn	ukn	
2022-06-18 01:03:22.410844	none	random_0	coclustering	avg	40	ukn	ukn	ukn	
2022-06-18 01:03:22.410905	none	random_0	coclustering	avg	45	ukn	ukn	ukn	
2022-06-18 01:03:22.410963	none	random_0	coclustering	avg	50	ukn	ukn	ukn	
2022-06-18 01:03:22.411025	none	random_0	coclustering	avg	55	ukn	ukn	ukn	
2022-06-18 01:03:22.411080	none	random_0	coclustering	avg	60	ukn	ukn	ukn	
2022-06-18 01:03:22.411128	none	random_0	coclustering	avg	65	ukn	ukn	ukn	
2022-06-18 01:03:22.411177	none	random_0	coclustering	avg	70	ukn	ukn	ukn	
2022-06-18 01:03:22.411230	none	random_0	coclustering	avg	75	ukn	ukn	ukn	
2022-06-18 01:03:22.411284	none	random_0	coclustering	avg	80	ukn	ukn	ukn	
2022-06-18 01:03:22.411334	none	random_0	coclustering	avg	85	ukn	ukn	ukn	
2022-06-18 01:03:22.411382	none	random_0	coclustering	avg	90	ukn	ukn	ukn	
2022-06-18 01:03:22.411417	none	random_0	coclustering	avg	95	ukn	ukn	ukn	
2022-06-18 01:03:22.411451	none	random_0	coclustering	avg	100	ukn	ukn	err	
2022-06-18 01:03:22.542302	none	random_0	coclustering	add	5	0.25	0.4583333333333333	0.20300249727838598	
2022-06-18 01:03:22.542431	none	random_0	coclustering	add	10	0.175	0.5833333333333333	0.16150195022470665	
2022-06-18 01:03:22.542514	none	random_0	coclustering	add	15	0.21666666666666667	0.8333333333333333	0.14450268948156564	
2022-06-18 01:03:22.542588	none	random_0	coclustering	add	20	0.1875	0.9583333333333334	0.13059616485281156	
2022-06-18 01:03:22.542658	none	random_0	coclustering	add	25	ukn	ukn	ukn	
2022-06-18 01:03:22.542742	none	random_0	coclustering	add	30	ukn	ukn	ukn	
2022-06-18 01:03:22.542824	none	random_0	coclustering	add	35	ukn	ukn	ukn	
2022-06-18 01:03:22.542875	none	random_0	coclustering	add	40	ukn	ukn	ukn	
2022-06-18 01:03:22.542922	none	random_0	coclustering	add	45	ukn	ukn	ukn	
2022-06-18 01:03:22.542989	none	random_0	coclustering	add	50	ukn	ukn	ukn	
2022-06-18 01:03:22.543020	none	random_0	coclustering	add	55	ukn	ukn	ukn	
2022-06-18 01:03:22.543070	none	random_0	coclustering	add	60	ukn	ukn	ukn	
2022-06-18 01:03:22.543103	none	random_0	coclustering	add	65	ukn	ukn	ukn	
2022-06-18 01:03:22.543150	none	random_0	coclustering	add	70	ukn	ukn	ukn	
2022-06-18 01:03:22.543182	none	random_0	coclustering	add	75	ukn	ukn	ukn	
2022-06-18 01:03:22.543213	none	random_0	coclustering	add	80	ukn	ukn	ukn	
2022-06-18 01:03:22.543244	none	random_0	coclustering	add	85	ukn	ukn	ukn	
2022-06-18 01:03:22.543275	none	random_0	coclustering	add	90	ukn	ukn	ukn	
2022-06-18 01:03:22.543307	none	random_0	coclustering	add	95	ukn	ukn	ukn	
2022-06-18 01:03:22.543339	none	random_0	coclustering	add	100	ukn	ukn	err	
2022-06-18 01:03:22.658447	none	random_0	coclustering	app	5	0.25	0.4583333333333333	0.18365985691665893	
2022-06-18 01:03:22.658595	none	random_0	coclustering	app	10	0.175	0.5833333333333333	0.1489881690715609	
2022-06-18 01:03:22.658660	none	random_0	coclustering	app	15	0.21666666666666667	0.8333333333333333	0.13530106332857098	
2022-06-18 01:03:22.658751	none	random_0	coclustering	app	20	0.1875	0.9583333333333334	0.12336967528169718	
2022-06-18 01:03:22.658822	none	random_0	coclustering	app	25	ukn	ukn	ukn	
2022-06-18 01:03:22.658888	none	random_0	coclustering	app	30	ukn	ukn	ukn	
2022-06-18 01:03:22.658988	none	random_0	coclustering	app	35	ukn	ukn	ukn	
2022-06-18 01:03:22.659041	none	random_0	coclustering	app	40	ukn	ukn	ukn	
2022-06-18 01:03:22.659107	none	random_0	coclustering	app	45	ukn	ukn	ukn	
2022-06-18 01:03:22.659146	none	random_0	coclustering	app	50	ukn	ukn	ukn	
2022-06-18 01:03:22.659229	none	random_0	coclustering	app	55	ukn	ukn	ukn	
2022-06-18 01:03:22.659295	none	random_0	coclustering	app	60	ukn	ukn	ukn	
2022-06-18 01:03:22.659343	none	random_0	coclustering	app	65	ukn	ukn	ukn	
2022-06-18 01:03:22.659409	none	random_0	coclustering	app	70	ukn	ukn	ukn	
2022-06-18 01:03:22.659474	none	random_0	coclustering	app	75	ukn	ukn	ukn	
2022-06-18 01:03:22.659505	none	random_0	coclustering	app	80	ukn	ukn	ukn	
2022-06-18 01:03:22.659537	none	random_0	coclustering	app	85	ukn	ukn	ukn	
2022-06-18 01:03:22.659568	none	random_0	coclustering	app	90	ukn	ukn	ukn	
2022-06-18 01:03:22.659599	none	random_0	coclustering	app	95	ukn	ukn	ukn	
2022-06-18 01:03:22.659630	none	random_0	coclustering	app	100	ukn	ukn	err	
2022-06-18 01:03:22.773729	none	random_0	coclustering	avm	5	0.25	0.24999999999999997	0.23365985691665891	
2022-06-18 01:03:22.773875	none	random_0	coclustering	avm	10	0.30000000000000004	0.7916666666666666	0.20408785732770082	
2022-06-18 01:03:22.773943	none	random_0	coclustering	avm	15	0.23333333333333334	0.875	0.1757001484658362	
2022-06-18 01:03:22.774025	none	random_0	coclustering	avm	20	0.1875	0.9583333333333334	0.15151428979427284	
2022-06-18 01:03:22.774112	none	random_0	coclustering	avm	25	ukn	ukn	ukn	
2022-06-18 01:03:22.774197	none	random_0	coclustering	avm	30	ukn	ukn	ukn	
2022-06-18 01:03:22.774280	none	random_0	coclustering	avm	35	ukn	ukn	ukn	
2022-06-18 01:03:22.774331	none	random_0	coclustering	avm	40	ukn	ukn	ukn	
2022-06-18 01:03:22.774380	none	random_0	coclustering	avm	45	ukn	ukn	ukn	
2022-06-18 01:03:22.774413	none	random_0	coclustering	avm	50	ukn	ukn	ukn	
2022-06-18 01:03:22.774447	none	random_0	coclustering	avm	55	ukn	ukn	ukn	
2022-06-18 01:03:22.774479	none	random_0	coclustering	avm	60	ukn	ukn	ukn	
2022-06-18 01:03:22.774512	none	random_0	coclustering	avm	65	ukn	ukn	ukn	
2022-06-18 01:03:22.774544	none	random_0	coclustering	avm	70	ukn	ukn	ukn	
2022-06-18 01:03:22.774577	none	random_0	coclustering	avm	75	ukn	ukn	ukn	
2022-06-18 01:03:22.774609	none	random_0	coclustering	avm	80	ukn	ukn	ukn	
2022-06-18 01:03:22.774641	none	random_0	coclustering	avm	85	ukn	ukn	ukn	
2022-06-18 01:03:22.774673	none	random_0	coclustering	avm	90	ukn	ukn	ukn	
2022-06-18 01:03:22.774705	none	random_0	coclustering	avm	95	ukn	ukn	ukn	
2022-06-18 01:03:22.774738	none	random_0	coclustering	avm	100	ukn	ukn	err	
2022-06-18 01:03:22.886372	none	random_0	coclustering	lms	5	0.25	0.4583333333333333	0.23365985691665891	
2022-06-18 01:03:22.886523	none	random_0	coclustering	lms	10	0.175	0.5833333333333333	0.171742519777628	
2022-06-18 01:03:22.886679	none	random_0	coclustering	lms	15	0.16666666666666666	0.7083333333333334	0.1361012155013539	
2022-06-18 01:03:22.886802	none	random_0	coclustering	lms	20	0.1875	0.9583333333333334	0.12314707521956136	
2022-06-18 01:03:22.886839	none	random_0	coclustering	lms	25	ukn	ukn	ukn	
2022-06-18 01:03:22.886922	none	random_0	coclustering	lms	30	ukn	ukn	ukn	
2022-06-18 01:03:22.886990	none	random_0	coclustering	lms	35	ukn	ukn	ukn	
2022-06-18 01:03:22.887056	none	random_0	coclustering	lms	40	ukn	ukn	ukn	
2022-06-18 01:03:22.887138	none	random_0	coclustering	lms	45	ukn	ukn	ukn	
2022-06-18 01:03:22.887205	none	random_0	coclustering	lms	50	ukn	ukn	ukn	
2022-06-18 01:03:22.887268	none	random_0	coclustering	lms	55	ukn	ukn	ukn	
2022-06-18 01:03:22.887314	none	random_0	coclustering	lms	60	ukn	ukn	ukn	
2022-06-18 01:03:22.887346	none	random_0	coclustering	lms	65	ukn	ukn	ukn	
2022-06-18 01:03:22.887378	none	random_0	coclustering	lms	70	ukn	ukn	ukn	
2022-06-18 01:03:22.887410	none	random_0	coclustering	lms	75	ukn	ukn	ukn	
2022-06-18 01:03:22.887442	none	random_0	coclustering	lms	80	ukn	ukn	ukn	
2022-06-18 01:03:22.887474	none	random_0	coclustering	lms	85	ukn	ukn	ukn	
2022-06-18 01:03:22.887506	none	random_0	coclustering	lms	90	ukn	ukn	ukn	
2022-06-18 01:03:22.887554	none	random_0	coclustering	lms	95	ukn	ukn	ukn	
2022-06-18 01:03:22.887585	none	random_0	coclustering	lms	100	ukn	ukn	err	
2022-06-18 01:03:23.000305	none	random_0	coclustering	maj	5	0.35	0.5416666666666666	0.26779016664095817	
2022-06-18 01:03:23.000440	none	random_0	coclustering	maj	10	0.3	0.7916666666666666	0.22861503254493792	
2022-06-18 01:03:23.000563	none	random_0	coclustering	maj	15	0.23333333333333334	0.875	0.18755264928003978	
2022-06-18 01:03:23.000666	none	random_0	coclustering	maj	20	0.1875	0.9583333333333334	0.16031794788133852	
2022-06-18 01:03:23.000737	none	random_0	coclustering	maj	25	ukn	ukn	ukn	
