timestamp	context_type	group_type	algorithm	aggregation_method	@k	precision	recall	ndcg	
2021-07-05 23:32:41.392598	none	random_0	baseline	avg	5	0.12000000000000002	0.0036751132740392685	0.06339850002884626	
2021-07-05 23:32:41.392899	none	random_0	baseline	avg	10	0.06000000000000001	0.0036751132740392685	0.05732100092732628	
2021-07-05 23:32:41.393762	none	random_0	baseline	avg	15	0.05333333333333333	0.004665212283940258	0.046754584255851904	
2021-07-05 23:32:41.393923	none	random_0	baseline	avg	20	0.05	0.005655311293841249	0.0419527057690649	
2021-07-05 23:32:41.394075	none	random_0	baseline	avg	25	0.04	0.005655311293841249	0.03723510732307911	
2021-07-05 23:32:41.394229	none	random_0	baseline	avg	30	0.039999999999999994	0.006645410303742239	0.03321553152389165	
2021-07-05 23:32:41.394393	none	random_0	baseline	avg	35	0.03428571428571429	0.006645410303742239	0.030328764791536927	
2021-07-05 23:32:41.394561	none	random_0	baseline	avg	40	0.03	0.006645410303742239	0.027802351842342865	
2021-07-05 23:32:41.394698	none	random_0	baseline	avg	45	0.026666666666666665	0.006645410303742239	0.025612531521903383	
2021-07-05 23:32:41.394833	none	random_0	baseline	avg	50	0.036	0.010730871481438956	0.024123116837726975	
2021-07-05 23:32:41.394989	none	random_0	baseline	avg	55	0.03636363636363636	0.011720970491339945	0.02307753154027157	
2021-07-05 23:32:41.395155	none	random_0	baseline	avg	60	0.04333333333333333	0.015806431669036662	0.02232074738694209	
2021-07-05 23:32:41.395293	none	random_0	baseline	avg	65	0.046153846153846156	0.017786629688838644	0.02175971019828638	
2021-07-05 23:32:41.395469	none	random_0	baseline	avg	70	0.04285714285714286	0.017786629688838644	0.02123524054239323	
2021-07-05 23:32:41.395609	none	random_0	baseline	avg	75	0.04	0.017786629688838644	0.020660557382154315	
2021-07-05 23:32:41.395743	none	random_0	baseline	avg	80	0.04	0.01989189284673338	0.020139118680448813	
2021-07-05 23:32:41.395876	none	random_0	baseline	avg	85	0.03764705882352941	0.01989189284673338	0.019598518923029794	
2021-07-05 23:32:41.396020	none	random_0	baseline	avg	90	0.03555555555555555	0.01989189284673338	0.019053957016994697	
2021-07-05 23:32:41.396174	none	random_0	baseline	avg	95	0.037894736842105266	0.022987255014529105	0.018565946380311234	
2021-07-05 23:32:41.396318	none	random_0	baseline	avg	100	0.036000000000000004	0.022987255014529105	0.0181258996895409	
2021-07-05 23:32:44.418302	none	random_0	baseline	add	5	0.12000000000000002	0.0036751132740392685	0.06339850002884626	
2021-07-05 23:32:44.418721	none	random_0	baseline	add	10	0.06000000000000001	0.0036751132740392685	0.05732100092732628	
2021-07-05 23:32:44.419193	none	random_0	baseline	add	15	0.05333333333333333	0.004665212283940258	0.046754584255851904	
2021-07-05 23:32:44.419644	none	random_0	baseline	add	20	0.05	0.005655311293841249	0.0419527057690649	
2021-07-05 23:32:44.419896	none	random_0	baseline	add	25	0.04	0.005655311293841249	0.03723510732307911	
2021-07-05 23:32:44.420168	none	random_0	baseline	add	30	0.039999999999999994	0.006645410303742239	0.03321553152389165	
2021-07-05 23:32:44.420426	none	random_0	baseline	add	35	0.03428571428571429	0.006645410303742239	0.030328764791536927	
2021-07-05 23:32:44.420674	none	random_0	baseline	add	40	0.03	0.006645410303742239	0.027802351842342865	
2021-07-05 23:32:44.420944	none	random_0	baseline	add	45	0.026666666666666665	0.006645410303742239	0.025612531521903383	
2021-07-05 23:32:44.421216	none	random_0	baseline	add	50	0.036	0.010730871481438956	0.024123116837726975	
2021-07-05 23:32:44.421473	none	random_0	baseline	add	55	0.03636363636363636	0.011720970491339945	0.02307753154027157	
2021-07-05 23:32:44.421743	none	random_0	baseline	add	60	0.04333333333333333	0.015806431669036662	0.02232074738694209	
2021-07-05 23:32:44.422001	none	random_0	baseline	add	65	0.046153846153846156	0.017786629688838644	0.02175971019828638	
2021-07-05 23:32:44.422269	none	random_0	baseline	add	70	0.04285714285714286	0.017786629688838644	0.02123524054239323	
2021-07-05 23:32:44.422550	none	random_0	baseline	add	75	0.04	0.017786629688838644	0.020660557382154315	
2021-07-05 23:32:44.422822	none	random_0	baseline	add	80	0.04	0.01989189284673338	0.020139118680448813	
2021-07-05 23:32:44.423092	none	random_0	baseline	add	85	0.03764705882352941	0.01989189284673338	0.019598518923029794	
2021-07-05 23:32:44.423350	none	random_0	baseline	add	90	0.03555555555555555	0.01989189284673338	0.019053957016994697	
2021-07-05 23:32:44.423616	none	random_0	baseline	add	95	0.037894736842105266	0.022987255014529105	0.018565946380311234	
2021-07-05 23:32:44.423886	none	random_0	baseline	add	100	0.036000000000000004	0.022987255014529105	0.0181258996895409	
2021-07-05 23:32:47.394953	none	random_0	baseline	app	5	0.0	0.0	0.0	
2021-07-05 23:32:47.395181	none	random_0	baseline	app	10	0.0	0.0	0.0	
2021-07-05 23:32:47.395366	none	random_0	baseline	app	15	0.013333333333333332	0.002105263157894737	0.0	
2021-07-05 23:32:47.395651	none	random_0	baseline	app	20	0.02	0.004210526315789474	0.003043504940240507	
2021-07-05 23:32:47.395840	none	random_0	baseline	app	25	0.024	0.005200625325690464	0.004968148179635322	
2021-07-05 23:32:47.395983	none	random_0	baseline	app	30	0.02	0.005200625325690464	0.005648066475554983	
2021-07-05 23:32:47.396120	none	random_0	baseline	app	35	0.017142857142857144	0.005200625325690464	0.005810591759956423	
2021-07-05 23:32:47.396253	none	random_0	baseline	app	40	0.015000000000000003	0.005200625325690464	0.005743992849191809	
2021-07-05 23:32:47.396387	none	random_0	baseline	app	45	0.017777777777777778	0.006895540579927752	0.005831444791693921	
2021-07-05 23:32:47.396537	none	random_0	baseline	app	50	0.016	0.006895540579927752	0.00578265979420996	
2021-07-05 23:32:47.396689	none	random_0	baseline	app	55	0.014545454545454545	0.006895540579927752	0.005661781238437411	
2021-07-05 23:32:47.396836	none	random_0	baseline	app	60	0.013333333333333332	0.006895540579927752	0.005503959420412698	
2021-07-05 23:32:47.396972	none	random_0	baseline	app	65	0.012307692307692308	0.006895540579927752	0.005329012174148455	
2021-07-05 23:32:47.397152	none	random_0	baseline	app	70	0.011428571428571429	0.006895540579927752	0.005148298865741215	
2021-07-05 23:32:47.397323	none	random_0	baseline	app	75	0.013333333333333332	0.007885639589828741	0.005053438757708267	
2021-07-05 23:32:47.397488	none	random_0	baseline	app	80	0.0125	0.007885639589828741	0.004943043536376151	
2021-07-05 23:32:47.397640	none	random_0	baseline	app	85	0.011764705882352941	0.007885639589828741	0.004824151574962883	
2021-07-05 23:32:47.397779	none	random_0	baseline	app	90	0.01111111111111111	0.007885639589828741	0.004701382812815727	
2021-07-05 23:32:47.397924	none	random_0	baseline	app	95	0.010526315789473684	0.007885639589828741	0.004577777531650851	
2021-07-05 23:32:47.398064	none	random_0	baseline	app	100	0.01	0.007885639589828741	0.004455328576361113	
2021-07-05 23:32:50.632482	none	random_0	baseline	avm	5	0.0	0.0	0.0	
2021-07-05 23:32:50.632831	none	random_0	baseline	avm	10	0.0	0.0	0.0	
2021-07-05 23:32:50.633008	none	random_0	baseline	avm	15	0.013333333333333332	0.002105263157894737	0.0	
2021-07-05 23:32:50.633203	none	random_0	baseline	avm	20	0.02	0.004210526315789474	0.003043504940240507	
2021-07-05 23:32:50.633385	none	random_0	baseline	avm	25	0.024	0.005200625325690464	0.004968148179635322	
2021-07-05 23:32:50.633543	none	random_0	baseline	avm	30	0.02	0.005200625325690464	0.005648066475554983	
2021-07-05 23:32:50.633712	none	random_0	baseline	avm	35	0.017142857142857144	0.005200625325690464	0.005810591759956423	
2021-07-05 23:32:50.633847	none	random_0	baseline	avm	40	0.015000000000000003	0.005200625325690464	0.005743992849191809	
2021-07-05 23:32:50.633981	none	random_0	baseline	avm	45	0.017777777777777778	0.006895540579927752	0.005831444791693921	
2021-07-05 23:32:50.634115	none	random_0	baseline	avm	50	0.016	0.006895540579927752	0.00578265979420996	
2021-07-05 23:32:50.634262	none	random_0	baseline	avm	55	0.014545454545454545	0.006895540579927752	0.005661781238437411	
2021-07-05 23:32:50.634427	none	random_0	baseline	avm	60	0.013333333333333332	0.006895540579927752	0.005503959420412698	
